type,seq,mac,rssi,rate,noise_floor,fft_gain,agc_gain,channel,local_timestamp,sig_len,rx_state,real_time_set,real_timestamp,len,first_word,data
CSI_DATA,28426,1a:00:00:00:00:00,-91,11,-98,250,79,11,140263115,47,0,0,140.204,128,0,"[0,0,0,0,0,0,0,0,33,1,31,-3,31,-2,31,-5,32,-5,31,-4,31,-2,28,-2,26,-1,26,2,27,5,25,5,23,10,21,10,21,7,18,9,19,7,17,6,18,5,16,4,17,2,16,-1,19,0,18,-2,19,-5,19,-7,21,-10,19,-13,0,0,8,0,8,1,6,3,6,7,5,8,5,8,7,9,10,11,11,13,10,14,10,16,10,15,10,15,12,16,12,15,11,14,12,12,11,10,11,9,10,7,11,8,11,7,7,9,5,13,1,16,-2,19,-6,21,-9,23,0,0,0,0,0,0]"
CSI_DATA,28427,1a:00:00:00:00:00,-90,11,-98,247,79,11,140280115,47,0,0,140.221,128,0,"[0,0,0,0,0,0,0,0,31,-9,30,-10,29,-11,29,-10,30,-9,28,-8,26,-9,28,-8,27,-10,25,-11,25,-9,26,-7,23,-7,22,-8,20,-9,22,-9,18,-13,17,-14,16,-14,15,-14,13,-16,12,-19,10,-17,9,-18,6,-20,5,-20,3,-19,0,-21,0,0,10,-17,11,-17,10,-17,7,-18,7,-17,5,-17,4,-16,3,-13,3,-13,2,-11,1,-9,1,-8,3,-6,3,-6,4,-5,4,-6,3,-8,1,-7,2,-7,3,-9,4,-11,3,-10,3,-11,4,-13,4,-15,4,-15,4,-17,3,-19,0,0,0,0,0,0]"
CSI_DATA,28429,1a:00:00:00:00:00,-91,11,-98,244,79,11,140314115,47,0,0,140.255,128,0,"[0,0,0,0,0,0,0,0,-14,-16,-16,-16,-17,-17,-19,-17,-20,-16,-19,-16,-19,-16,-19,-14,-16,-13,-16,-13,-16,-13,-17,-10,-17,-9,-19,-10,-21,-9,-18,-10,-17,-10,-19,-9,-19,-8,-19,-8,-17,-8,-15,-5,-16,-3,-17,-4,-19,-3,-21,-2,-22,-5,-22,-6,0,0,-17,6,-19,6,-18,6,-19,7,-21,5,-23,4,-21,0,-19,0,-18,-2,-17,-1,-14,-2,-15,-2,-14,-2,-12,0,-9,1,-12,2,-14,3,-15,4,-14,3,-14,3,-14,2,-12,1,-12,-1,-13,-2,-12,-3,-10,-2,-9,-3,-11,-3,0,0,0,0,0,0]"
CSI_DATA,28430,1a:00:00:00:00:00,-90,11,-98,248,79,11,140331115,47,0,0,140.272,128,0,"[0,0,0,0,0,0,0,0,14,22,14,23,13,24,13,24,12,24,13,25,15,24,16,24,16,25,17,23,17,21,18,17,20,17,20,15,21,13,22,9,23,7,24,4,24,4,24,2,21,2,21,-1,20,-3,20,-5,22,-7,25,-10,26,-11,28,-14,0,0,13,-9,11,-9,11,-8,12,-9,10,-10,7,-12,9,-12,8,-13,7,-14,6,-16,8,-18,8,-20,5,-18,7,-17,8,-14,6,-15,7,-14,8,-14,7,-14,7,-14,4,-13,5,-16,5,-15,4,-18,4,-19,3,-20,4,-21,4,-21,0,0,0,0,0,0]"
CSI_DATA,28431,1a:00:00:00:00:00,-91,11,-98,253,79,11,140348116,47,0,0,140.289,128,0,"[0,0,0,0,0,0,0,0,31,6,31,6,30,6,28,5,27,3,25,0,26,1,25,2,25,4,22,1,21,1,20,0,23,1,21,-1,19,-1,19,-3,18,-4,16,-8,17,-6,18,-6,17,-6,12,-8,13,-8,16,-8,18,-12,20,-13,23,-14,24,-16,0,0,13,7,12,4,12,2,15,-3,15,-7,14,-11,11,-11,11,-13,12,-13,12,-12,13,-15,13,-13,10,-11,12,-10,13,-7,16,-5,18,-3,20,-1,21,0,23,0,25,-2,25,-3,25,-3,26,-5,24,-6,23,-7,23,-8,23,-9,0,0,0,0,0,0]"
CSI_DATA,28432,1a:00:00:00:00:00,-91,11,-98,244,79,11,140365116,47,0,0,140.306,128,0,"[0,0,0,0,0,0,0,0,27,-1,25,-2,25,-2,24,-4,21,-6,20,-8,19,-11,17,-14,15,-16,16,-18,13,-21,12,-25,8,-26,8,-25,3,-24,1,-24,-2,-21,-2,-22,-4,-18,-5,-16,-9,-12,-10,-12,-13,-12,-11,-12,-9,-11,-6,-12,-4,-11,-3,-12,0,0,-15,15,-14,13,-14,13,-14,14,-15,12,-13,11,-12,12,-11,12,-7,12,-6,11,-7,11,-6,8,-6,6,-5,5,-6,5,-4,3,-4,4,-3,7,-2,8,-2,9,0,11,2,12,1,14,3,14,4,15,5,14,5,12,7,11,0,0,0,0,0,0]"
CSI_DATA,28433,1a:00:00:00:00:00,-92,11,-98,253,79,11,140382116,47,0,0,140.323,128,0,"[0,0,0,0,0,0,0,0,26,7,28,12,27,15,27,16,24,19,26,20,24,18,22,16,20,15,22,14,20,13,18,13,18,12,19,12,19,12,18,13,17,13,18,13,15,11,14,8,15,8,15,8,17,8,14,12,15,16,17,20,16,23,17,29,0,0,17,17,18,15,18,14,20,13,20,11,19,11,20,9,23,9,20,9,20,9,21,8,20,7,18,5,17,7,18,5,16,6,14,8,13,8,13,9,11,12,9,13,9,11,8,13,7,15,8,14,9,13,11,15,13,14,0,0,0,0,0,0]"
CSI_DATA,28434,1a:00:00:00:00:00,-92,11,-98,251,79,11,140410835,47,0,0,140.351,128,0,"[0,0,0,0,0,0,0,0,-21,24,-19,25,-20,27,-21,26,-20,28,-21,28,-22,28,-20,27,-18,28,-15,26,-16,24,-14,21,-12,21,-10,18,-9,19,-8,21,-5,21,-5,20,-4,20,-2,23,-1,22,-1,25,0,26,4,24,7,22,8,21,11,21,13,20,0,0,12,13,14,14,13,16,13,15,10,13,10,14,10,12,11,11,11,8,11,10,9,10,10,8,10,12,12,15,12,14,12,14,12,17,10,15,11,13,12,12,10,14,10,11,9,9,8,10,6,10,5,8,4,10,3,10,0,0,0,0,0,0]"
CSI_DATA,28435,1a:00:00:00:00:00,-93,11,-98,251,79,11,140416116,47,0,0,140.357,128,0,"[0,0,0,0,0,0,0,0,11,-22,11,-22,11,-24,11,-25,12,-27,12,-27,13,-28,14,-27,14,-27,17,-30,15,-31,14,-29,12,-27,11,-24,11,-24,12,-21,13,-19,13,-17,8,-13,13,-9,16,-9,16,-10,15,-8,17,-10,16,-14,14,-17,16,-19,19,-23,0,0,14,-7,15,-8,14,-9,15,-8,18,-11,17,-12,14,-13,16,-12,17,-11,16,-11,15,-10,16,-10,13,-9,12,-9,11,-7,15,-6,15,-8,14,-10,13,-9,14,-8,16,-8,19,-11,18,-8,21,-8,20,-9,21,-6,23,-4,25,-4,0,0,0,0,0,0]"
CSI_DATA,28436,1a:00:00:00:00:00,-89,11,-98,249,79,11,140433116,47,0,0,140.374,128,0,"[0,0,0,0,0,0,0,0,-34,-6,-32,-5,-31,-2,-29,-1,-28,1,-26,3,-29,4,-29,3,-28,3,-27,2,-27,2,-26,2,-27,3,-28,3,-27,3,-23,5,-23,4,-24,6,-24,9,-24,12,-23,11,-23,12,-23,12,-22,14,-22,15,-20,18,-17,19,-15,21,0,0,-19,12,-16,10,-13,10,-13,9,-9,9,-6,8,-7,11,-8,12,-7,14,-6,15,-7,18,-6,19,-4,20,-5,22,-5,22,-2,21,0,25,0,25,-1,24,-1,21,-3,20,-1,20,-2,19,-3,19,-3,20,-4,17,-4,16,-4,15,0,0,0,0,0,0]"
